天気コード,天気名称,取得URL,HTTPステータス,SVG判定,ファイルサイズ,取得日時,結果,備考
210,曇後時々晴,https://www.jma.go.jp/bosai/forecast/img/210.svg,200,OK,12364,2026-09-10 03:50:18,成功,
211,曇後晴,https://www.jma.go.jp/bosai/forecast/img/211.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
212,曇後一時雨,https://www.jma.go.jp/bosai/forecast/img/212.svg,200,OK,8016,2026-09-10 03:50:18,成功,
213,曇後時々雨,https://www.jma.go.jp/bosai/forecast/img/213.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
214,曇後雨,https://www.jma.go.jp/bosai/forecast/img/214.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
215,曇後一時雪,https://www.jma.go.jp/bosai/forecast/img/215.svg,200,OK,6785,2026-09-10 03:50:18,成功,
216,曇後時々雪,https://www.jma.go.jp/bosai/forecast/img/216.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
217,曇後雪,https://www.jma.go.jp/bosai/forecast/img/217.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
218,曇後雨か雪,https://www.jma.go.jp/bosai/forecast/img/218.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
219,曇後雨か雷雨,https://www.jma.go.jp/bosai/forecast/img/219.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
220,曇朝夕一時雨,https://www.jma.go.jp/bosai/forecast/img/220.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
221,曇朝の内一時雨,https://www.jma.go.jp/bosai/forecast/img/221.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
222,曇夕方一時雨,https://www.jma.go.jp/bosai/forecast/img/222.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
223,曇日中時々晴,https://www.jma.go.jp/bosai/forecast/img/223.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
224,曇昼頃から雨,https://www.jma.go.jp/bosai/forecast/img/224.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
225,曇夕方から雨,https://www.jma.go.jp/bosai/forecast/img/225.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
226,曇夜は雨,https://www.jma.go.jp/bosai/forecast/img/226.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
228,曇昼頃から雪,https://www.jma.go.jp/bosai/forecast/img/228.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
229,曇夕方から雪,https://www.jma.go.jp/bosai/forecast/img/229.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
230,曇夜は雪,https://www.jma.go.jp/bosai/forecast/img/230.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
231,曇海上海岸は霧か霧雨,https://www.jma.go.jp/bosai/forecast/img/231.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
240,曇時々雨で雷を伴う,https://www.jma.go.jp/bosai/forecast/img/240.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
250,曇時々雪で雷を伴う,https://www.jma.go.jp/bosai/forecast/img/250.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
260,曇一時雪か雨,https://www.jma.go.jp/bosai/forecast/img/260.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
270,曇時々雪か雨,https://www.jma.go.jp/bosai/forecast/img/270.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
281,曇後雪か雨,https://www.jma.go.jp/bosai/forecast/img/281.svg,404,NG,2203,2026-09-10 03:50:18,失敗,HTTPが200ではない
